Checklist Question,Matched Subcategories,Scores
"Have the entry requirements to the engine room when operating in UMS mode been documented, posted at the entrance to the engine room and understood by all crew? (V)?",Unattended machinery spaces (UMS) evidence # UMS-ship # UMS-alarms,0.809 # 0.807 # 0.796
"Is if an engine room dead man alarm (personnel alarm) is provided, is it being set correctly and in good order? (V)?",Crew alarm # Engineer's alarm # General alarm,0.735 # 0.731 # 0.721
"Is an engineer’s calling alarm system fitted and is it tested regularly, in good order and the results recorded? (V)?",Engineer's alarm # UMS-alarms # Machinery controls alarm,0.674 # 0.670 # 0.667
Is the engine room logbook being properly maintained? (V)?,Cleanliness of engine room # Log-books/compulsory entries # Unattended machinery spaces (UMS) evidence,0.746 # 0.740 # 0.731
Are procedures to recover essential equipment documented and posted in the engine room? (V)?,Means of recovery of life saving appliances # Booklet for bulk cargo loading/unloading/stowage # Log-books/compulsory entries,0.729 # 0.717 # 0.714
Is an effective and up to date planned maintenance system available and being followed on board the vessel? (V & M)?,Operation/maintenance # Maintenance / duplication of equipment # Facilities for reception of marine safety information,0.714 # 0.701 # 0.699
Is critical equipment identified and are a sufficient spare part available as per the manufacturers’ recommendations? (V & M)?,Ready availability of fire fighting equipment # Medical equipment # Protection machinery,0.678 # 0.675 # 0.669
Are the major components of the main engine maintained as per manufacturer’s recommendations and records of periodic maintenance kept? (V)?,"Technical Files and if applicable, monitoring manual # Maintenance of Fire protection systems # Propulsion main engine",0.696 # 0.692 # 0.688
Are the major components of the auxiliary engines maintained as per manufacturer’s recommendations and records of periodic maintenance kept? (V)?,"Technical Files and if applicable, monitoring manual # Auxiliary engine # Maintenance of Fire protection systems",0.689 # 0.688 # 0.680
"Are the emergency escape routes clearly marked, free of obstruction and adequately lit? (V)?","Low level lighting in corridors # Means of escape # Emergency lighting, batteries and switches",0.707 # 0.668 # 0.666
Is the lighting illumination level in engine room space adequate (V)?,Lighting (Working spaces) # Low level lighting in corridors # Adequate lighting - mooring arrangements,0.741 # 0.712 # 0.700
"Is the emergency equipment tested, in good condition and the result recorded? (V)?",Performance standards for radio equipment # Ready availability of fire fighting equipment # Radio log (diary),0.676 # 0.675 # 0.674
"Are engine room emergency stops for ventilation fans and the closing mechanism of ventilation supply and exhaust ducts clearly marked, in working condition, and do records indicate that they have been regularly tested? (V)?","Ventilation (Working spaces) # Ventilators, air pipes, casings # Means of control (opening, pumps) Machinery spaces",0.747 # 0.741 # 0.722
Are engine exhausts and other hot surfaces effectively shielded against oil spray and are flanges and connections of flammable liquid pipelines adequately protected with guards and spray tape? (V)?,Insulation wetted through (oil) # Jacketed high pressure lines and oil leakage alarm # Protection machinery,0.711 # 0.707 # 0.691
"Is lagging and insulation, free of any significant oil impregnation ? (V)?",Insulation wetted through (oil) # Retention of oil on board # Insulation,0.739 # 0.638 # 0.630
Are main engine bearing temperature monitors or crankcase oil mist detector(s) in good condition and regularly tested as per manufacturer instruction? (V)?,"Gauges, thermometers etc. # Maintenance of Fire protection systems # Machinery controls alarm",0.689 # 0.671 # 0.668
"Are the main, emergency switchboards and local starter panels surrounded by non- conducting mat and are the mats in good order? (V)?","Electrical # Pipes, wires (insulation) # Electric equipment in general",0.689 # 0.665 # 0.664
Are the self-closing valves and gauge glasses being maintained and in good order? (V)?,"Gauges, thermometers etc. # Maintenance of Fire protection systems # Ballast, fuel and other tanks",0.695 # 0.663 # 0.649
Are self-closing sounding devices in good order and closed? (V)?,Fire doors/openings in fire-resisting divisions # Minimum headroom # Closing devices/watertight doors,0.634 # 0.634 # 0.629
"Is where moving machinery presents a hazard, is it guarded effectively? (V)?",Guards / fencing around dangerous machinery parts # Protection machines/parts # Protection machinery,0.800 # 0.748 # 0.743
"Are the protective guards, shields and emergency stop of the engine room workshop tools being maintained in good order? (V)?",Protection machinery # Guards / fencing around dangerous machinery parts # Ventilation (Working spaces),0.749 # 0.745 # 0.726
"Is the engine room crane and other lifting gear regularly inspected, tested, and maintained? (V & M)?",Loading and unloading equipment # Unattended machinery spaces (UMS) evidence # Maintenance of Fire protection systems,0.682 # 0.666 # 0.660
"Are all spare parts and loose gear in the machinery spaces, stores and steering compartment properly secured? (V)?",Steering gear # Guards / fencing around dangerous machinery parts # Protection machinery,0.717 # 0.705 # 0.688
Is the standard of housekeeping in the machinery space and steering gear room satisfactory and are they clean and free from obvious leaks? (V)?,"Machinery # Steering gear # Galley, handlingroom (maintenance)",0.703 # 0.697 # 0.695
Are engine room bilges clean and free of oil and sediment? (V)?,"Cleanliness of engine room # Pumping, piping and discharge arrangements # Bilge pumping arrangements",0.761 # 0.715 # 0.713
"Is the bilge high level alarm system in good order, regularly tested and are records of test maintained? (V)?",Water level detectors on single hold cargo ships # Bridge Navigational Watch Alarm System (BNWAS) # Water level indicator,0.693 # 0.681 # 0.681
"Are the sea chest, seawater pumps and related sea water lines in good order, free of hard rust and temporary repairs? (V)?","Pumping, piping and discharge arrangements # Emergency fire pump and its pipes # Other (load lines)",0.695 # 0.677 # 0.675
"Is the following machinery/equipment, where applicable, in good order and well maintained? (V)?",Machinery # Guards / fencing around dangerous machinery parts # Ready availability of fire fighting equipment,0.696 # 0.678 # 0.678
"Is the pipe work in the machinery space, including but not limited to steam, fuel, lubricating oil, sewage, drain and air lines well maintained, in good condition and free of any temporary repair? (V)?","Machinery # Oil and oily mixtures from machinery spaces # Steam pipes, pressure pipes, wires (insulation)",0.715 # 0.695 # 0.694
Are engineers familiar with operation of the main engine from the local manoeuvring control position? (V)?,Revolution counter # Rudder angle indicator # Emergency steering position communications/ compass reading,0.709 # 0.694 # 0.692
Are crew familiar with the starting procedure for the emergency generator and how to put power on the emergency switch board? (V)?,Emergency source of power - Emergency generator # Reserve source of energy # Auxiliary engine,0.756 # 0.732 # 0.720
"Is if the starting source of the emergency generator relies on a single starter motor, has a spare starter motor been provided? (V)?",Emergency source of power - Emergency generator # Auxiliary engine # Reserve source of energy,0.715 # 0.696 # 0.688
"Is if an emergency generator is not fitted, are engine room emergency batteries in good order, fully charged and capable of supplying the designed power load up to a minimum 18 hours? (V)?",Reserve source of energy # Emergency source of power - Emergency generator # Auxiliary engine,0.739 # 0.739 # 0.696
Is the earth fault monitoring equipment of the main and emergency switchboards operational and are they free of faults? (V)?,"Emergency source of power - Emergency generator # Emergency lighting, batteries and switches # Electrical",0.652 # 0.652 # 0.648
Is the emergency steering gear drill being carried out every three months? (V)?,Records of drills and steering gear tests # Steering gear # Enclosed space entry and rescue drills,0.706 # 0.667 # 0.666
Is the emergency reserve tank of the steering gear system fully charged? (V)?,Steering gear # Steering-gear alarm # Reserve source of energy,0.677 # 0.668 # 0.665
Is a heading indicator and communication system provided in the steering gear room and are they in good order? (V)?,Emergency steering position communications/ compass reading # Steering-gear alarm # Steering gear,0.771 # 0.727 # 0.720
Is the emergency steering position rudder angle indicator in good order and clearly marked in red and green? (V)?,Rudder angle indicator # Emergency steering position communications/ compass reading # Rate-of-turn indicator,0.735 # 0.703 # 0.700
Is the steering gear compartment clear of obstructions and loos equipment properly secured? (V)?,Steering gear # Steering-gear alarm # Guards / fencing around dangerous machinery parts,0.707 # 0.671 # 0.659
"Are suitable handrails, gratings or other non-slip surfaces provided for the steering gear compartment? (V)?","Obstruction/slipping, etc. # Steering gear # Steering-gear alarm",0.646 # 0.639 # 0.613
"Is the ship’s hull clean, free of significant corrosion, extensive coating breakdown and marine growth? (V)?",Hull damage impairing seaworthiness # Loading/Ballast condition (Tanker) # Decks - corrosion,0.727 # 0.715 # 0.708
"Are the following permanent markings on the ship’s hull, where applicable, plainly visible and painted in a contrasting colour? (V)?",Freeboard marks # Paint condition # Triangle mark,0.747 # 0.725 # 0.722
Are the weather decks free of loose rust scale and maintained in a satisfactory condition? (V)?,Decks - corrosion # Bulwarks and freeing ports # Hull - corrosion,0.684 # 0.648 # 0.648
"Are the pipes on deck free of significant corrosion, pitting, soft patches or temporary repair and maintained in good condition? (V)?",Decks - corrosion # Manholes / flush scuttles # Decks - cracking,0.715 # 0.697 # 0.695
"Are all the watertight doors, weathertight doors, portholes, and wheelhouse windows maintained in good order? (V)?","Wheelhouse door, -window # Doors # Closing devices/watertight doors",0.785 # 0.733 # 0.722
Are the vents and air pipes on weather decks maintained in good order and are they clearly marked to indicate the compartment they serve? (V)?,"Ventilators, air pipes, casings # Ventilation (Accommodation) # Covers (hatchway-, portable-, tarpaulins, etc.)",0.707 # 0.689 # 0.688
Is the cosmetic appearance of the superstructure satisfactory? (V)?,Spaces in cargo areas # Structural condition # Lighting (Accommodation),0.646 # 0.645 # 0.643
Are the hatch numbers clearly indicated and correctly placed? (V)?,Triangle mark # Freeboard marks # Adequate lighting - mooring arrangements,0.670 # 0.649 # 0.645
"Are the deck lights, emergency lights and hold lights (where fitted) in good order? (V)?","Adequate lighting - mooring arrangements # Emergency lighting, batteries and switches",0.725 # 0.675 # 0.669
Are portable and fixed cargo lights used for illumination of cargo holds inspected regularly and maintained in good condition? (V)?,"Holds and tanks safety # Covers (hatchway-, portable-, tarpaulins, etc.) # Lighting (Working spaces)",0.675 # 0.664 # 0.653
"Is the condition of electrical equipment including switches, sockets, junction boxes, plugs, conduits and wiring on weather decks satisfactory? (V)?",Electrical # Electric equipment in general # Facilities for reception of marine safety information,0.708 # 0.703 # 0.671
"Are the explosion-proof lights in paint lockers, acetylene stores or similar spaces in good condition? (V)?","Emergency lighting, batteries and switches # Lighting (Working spaces) # Low level lighting in corridors",0.682 # 0.681 # 0.673
Are the stores located inside the accommodation and on the weather decks clean and tidy? (V)?,Cleanliness # Doors # Oil skin locker,0.664 # 0.661 # 0.649
Are dryers inside the laundries clear of any build-up of lint? (V)?,Laundry # Oil skin locker,0.627 # 0.619
"Are galley appliances, audio-visual equipment, and other electrical equipment inside the accommodation in good order? (V)?","Galley, handlingroom (maintenance) # Furnishings",0.703 # 0.702 # 0.701
"Are the door seals, catches and alarm system of the refrigerated space in good order? (V)?","Cold room, cold room cleanliness, cold room temperature # Cold room # Cold room temperature",0.669 # 0.660 # 0.659
"Is the elevator, where fitted, inspected, tested and in good order? (V)?","Pilot ladders and hoist/pilot transfer arrangements # Maintenance of Fire protection systems # Evaluation, testing and approval",0.673 # 0.647 # 0.642
"Is if provided, is the ship’s hospital properly equipped, clean, hygienic and for medical use only? (V & M)?",Hospital accommodation (Sickbay) # Sickbay # Medical equipment,0.722 # 0.712 # 0.706
Do the Seafarer Employment Agreements (SEA) comply with the requirements of MLC 2006 and do the crew salaries meet or exceed the current ILO Minimum Wage Scale? (V & M)?,Seafarer' employment agreement SEA # Survey report file # Wages,0.755 # 0.742 # 0.724
"Are the accommodation spaces safe, provided to a respectable level of health and hygiene and regularly inspected, including checks of ventilation, noise, heating, lighting, and sanitation? (V)?","Cleanliness # Dirty, parasites # MLC, 2006 - Accommodation, recreational facilities, food and catering",0.753 # 0.728 # 0.712
Are the ship’s staff provided with adequate recreation facilities on board the ship? (V)?,"Other (crew and accommodation) # MLC, 2006 - Accommodation, recreational facilities, food and catering # Fire drills",0.686 # 0.681 # 0.679
Has the master been provided with a monthly welfare budget? (V)?,Wages # Record of inspection # Provisions quantity,0.620 # 0.618 # 0.616
Are seafarers being provided with sufficient food and water free of charge and does the cook hold appropriate qualifications? (V)?,Training and qualification of ship's cook # Wages # Seafarer' employment agreement SEA,0.724 # 0.690 # 0.685
Are ship’s staff provided with appropriate medical care and health promotion programmes? (V)?,"Medical certificate # Medical care onboard or ashore free of charge # MLC, 2006 - Health protection, medical care, social security",0.711 # 0.704 # 0.703
"Is there evidence to confirm that visits to a qualified medical doctor or dentist have been arranged without delay in ports of call, where required? (V)?",Access to on shore medical doctor or dentist # Medical advice by radio or satellite # Medical doctor or person in charge of medical care,0.693 # 0.683 # 0.648
"Are individual monthly statements provided to all seafarers on board, detailing their monthly wage and any authorised deductions such as allotments? (V)?",Measures to ensure transmission to seafarer's family # Wages # Seafarer' employment agreement SEA,0.701 # 0.687 # 0.681
Is there a complaints procedure on board and are seafarers aware of this procedure? (V)?,"Procedure for complaint under MLC, 2006 # Procedure for inspection, reporting and correcting unsafe conditions and for investigating and reporting on-board occupational accidents # Records of seafarers' daily hours of work or rest",0.740 # 0.714 # 0.712
Is the vessel provided with adequate policies on mental health and mental disorders? (V)?,"Medical advice by radio or satellite # Medical certificate # Dirty, parasites",0.707 # 0.703 # 0.702
"Are seafarers provided with free access to external sources of support, whom they can contact in confidence while on board (V)?",Access to on shore medical doctor or dentist # Medical care onboard or ashore free of charge # Seafarer' employment agreement SEA,0.672 # 0.671 # 0.670
Has company provided training for on-board key personnel in recognising signs of mental health problems? (V)?,On board programme for the prevention of occupational injuries and diseases # Training and qualification MLC - Personnel safety training # Doc evidence for personnel on passenger ships,0.669 # 0.660 # 0.658
Is the vessel provided with a practical guide regarding the management of death at sea?,Booklet for bulk cargo loading/unloading/stowage # Cargo securing manual # Lifejackets incl. provision and disposition,0.701 # 0.675 # 0.673
Is the vessel provided with an approved ship-specific Polar Water Operation manual or an Ice Operation manual? (V)?,Oil record book # Polar ship certificate # Polar Water Operational Manual,0.734 # 0.727 # 0.727
Is the master aware of the operational limitations specified in the Polar Ship Certificate? (V)?,Operational limitations for passenger ships # Certificate for rating able seafarer deck/engine and electro-technical # Facilities for reception of marine safety information,0.730 # 0.718 # 0.717
"Is the vessel appropriately manned by adequately qualified, trained, and experienced personnel? (V)?",Manning specified by the minimum safe manning doc # Certificate for rating able seafarer deck/engine and electro-technical # Fire drills,0.717 # 0.712 # 0.711
Is polar water operation incorporated in the approved SOPEP manual? (V)?,Polar Water Operational Manual # Oil record book # Shipboard Marine Pollution emergency operations,0.732 # 0.704 # 0.692
Is the vessel provided with a means of detecting floating ice? (V)?,Facilities for reception of marine safety information # Oil / water interface detector # Echo sounder,0.658 # 0.657 # 0.657
Is the vessel able to receive up-to-date information including ice reports for safe navigation? (V)?,Facilities for reception of marine safety information # Nautical publications # Charts,0.747 # 0.701 # 0.693
Are main engine sea chests provided with steam heating systems and is a record of check available? (V)?,"Unattended machinery spaces (UMS) evidence # Steam pipes and pressure pipes # Pumping, piping and discharge arrangements",0.683 # 0.682 # 0.671
Are personnel provided with appropriate protective equipment suitable for sub- freezing temperature? (V)?,Immersion suits # Personal equipment # Heating,0.718 # 0.708 # 0.703
Are the accommodation spaces provided with adequate heating systems? (V)?,"Heating # Ventilation (Accommodation) # Heating, air conditioning and ventilation",0.684 # 0.676 # 0.673
Is the vessel equipped with suitable material and / or equipment for cleaning the ice and snow from critical areas? (V)?,Tank washing equipment # Immersion suits # Helicopter landing and pick-up area,0.669 # 0.665 # 0.659
Is effective vision enhancement equipment provided on the Navigation Bridge? (V)?,Navigation bridge visibility # Rudder angle indicator # Gyro compass,0.680 # 0.659 # 0.654
"Is exterior electronic equipment, such as communication transmitters / receivers exposed to rotating radar scanners and fog horns protected from sub-freezing temperature? (V)?",Facilities for reception of marine safety information # MF/HF radio installation # Main installation,0.625 # 0.623 # 0.620
Are procedures in place to safeguard the operation of critical equipment in sub-freezing temperatures? (V)?,Protection machinery # Immersion suits # Operation of GMDSS equipment,0.712 # 0.704 # 0.696
Are procedures in place to safeguard the readiness of lifesaving appliances and survival arrangements in sub-freezing temperature? (V)?,Immersion suits # Operational readiness of lifesaving appliances # Lifejackets incl. provision and disposition,0.716 # 0.705 # 0.691
Are procedures in place to safeguard the readiness of firefighting equipment in sub-freezing temperature? (V)?,Ready availability of fire fighting equipment # Operation of Fire protection systems # Protection machinery,0.712 # 0.699 # 0.687
"Are procedures in place to safeguard the ballast lines, hydraulic lines, fire lines and bunker lines in sub-freezing temperature? (V)?","Steam pipes, pressure pipes, wires (insulation) # Immersion suits # Ballast, fuel and other tanks",0.703 # 0.698 # 0.695
Are means and procedures in place to safeguard the readiness of the ballast systems in sub-freezing temperature? (V)?,"Loading/Ballast condition (Tanker) # Ballast, fuel and other tanks # Immersion suits",0.720 # 0.714 # 0.710
Are means and procedures in place to safeguard the blockage of vent pipes in sub-freezing temperature? (V)?,"Fire-dampers # Ventilators, air pipes, casings # Ventilation",0.695 # 0.664 # 0.661
Are the emergency drill procedures amended prior to entering sub-freezing / polar areas and are the crew being regularly trained with such a procedure? (V)?,Enclosed space entry and rescue drills # Abandon ship drills # Security drills,0.738 # 0.737 # 0.733
"Is if the vessel intends to trade in Polar Regions, have the hull underwriters and P&I Club been informed? (V)?",Polar ship certificate # Oil record book # Immersion suits,0.720 # 0.714 # 0.703
